Longitude,Latitude,osm_id,source,capacitype,operatorty,building,amenity,addrcity,addrfull,name
44.5205564,40.1862696,370158730,,,,,school,,,Ա. Պուշկինի անվան թիվ 8 դպրոց
44.5240707,40.1928596,939280396,,,,,kindergarten,,,ՀՊՃՀ մանկապարտեզ
44.5222165,40.1909398,939307005,,,,,university,,,
44.7153661,39.9106198,960149832,,,,,school,Վեդի,,Խաչիկ Սողոմոնյանի անվան թիվ 2
44.4886099,40.1363892,1176902332,,,,,school,,,Թիվ 97 Դպրոց
44.7335679,41.2443989,1179610926,JumpStart International,,,,school,,,ცოფის საჯარო სკოლა
44.7217858,41.231319,1179611033,JumpStart International,,,,school,,,გულსაბავშვო ბაღის საჯარო სკოლა
44.6944124,41.2286797,1179611435,JumpStart International,,,,school,,,ხოჯორნის საჯარო სკოლა
44.8350143,41.2190675,1179611468,JumpStart International,,,,school,,,ბარმას საჯარო სკოლა
44.8420221,41.2999985,1179611975,JumpStart International,,,,school,,,ბეიტარაფჭის საჯარო სკოლა (Beitarapchi Public School)
44.7678904,41.2309539,1179613856,JumpStart International,,,,school,,,
44.1419064,41.2058432,1179614072,JumpStart International,,,,school,,,ირგანჩაის საჯარო სკოლა
44.8549701,41.2219003,1179614075,JumpStart International,,,,school,,,ტაზაკენდის საჯარო სკოლა
44.7990463,41.2448335,1179614124,JumpStart International,,,,school,,,სადახლოს 1-ი საჯარო სკოლა
44.7876073,41.2388494,1179614653,JumpStart International,,,,school,,,სადახლოს მე-2 საჯარო სკოლა
44.7959508,41.281998,1179615218,JumpStart International,,,,school,,,კიროვკას დაწყებითი სკოლა
44.3196297,41.2166021,1179616979,JumpStart International,,,,school,,,გუგუტის საჯარო სკოლა
44.7308556,39.9074956,1240243557,,,,,kindergarten,,,
46.024625,39.5244644,1328289042,,,,,school,,,school N3
46.0341351,39.5242306,1328463451,,,,,school,,,school N1
46.0345857,39.5270939,1328463457,,,,,school,,,
46.0221537,39.5189277,1328501102,,,,,school,,,
46.0225708,39.5160423,1328501107,,,,,school,,,school N2
46.0266223,39.5161364,1328501121,,,,,college,,,
43.8472968,40.7967534,1430339073,,,,,school,Գյումրի,,ՎԱՀԱՆ ԹԵՔԵՅԱՆԻ ԱՆՎԱՆ ԳՅՈՒՄՐՈՒ ԹԻՎ 2 ԱՎԱԳ ԴՊՐՈՑ
